all time stamps are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred
,C1,B2,A1,A2,B3,D1,Y,B1(MV),C2(MV),D3,D2,Z
135,115.199669,10528.69629,210.139801,1734.962646,0.799728,0.467214,3.500963,58.40625,62.375,52.220184,85.868538,1570.198242
136,115.056175,10532.68262,210.025726,1734.735962,0.801974,0.46643,3.496572,58.40625,62.375,52.21423,85.863457,1565.252686
137,114.892937,10530.50098,210.177399,1734.204956,0.800719,0.466621,3.494398,58.40625,62.375,52.204609,86.03833,1565.585938
138,115.29174,10525.1875,210.081879,1734.321411,0.799096,0.466437,3.491386,58.40625,62.375,52.203678,85.943024,1564.371582
139,114.926697,10525.15625,209.966263,1735.40564,0.796544,0.465917,3.49043,58.40625,62.375,52.195492,85.866974,1564.804688
140,114.989853,10530.19727,210.097717,1735.337769,0.797806,0.464809,3.494265,58.40625,62.375,52.189133,85.792854,1566.093994
141,114.854523,10526.90625,209.980911,1735.073486,0.80485,0.465968,3.491912,58.40625,62.375,52.191597,85.867668,1564.859985
142,115.010559,10530.62891,210.199997,1735.006104,0.803173,0.467974,3.494706,58.40625,62.375,52.193687,85.852646,1564.848145
143,114.966805,10526.54981,210.144836,1734.525269,0.798656,0.467978,3.498596,58.40625,62.375,52.191906,85.943092,1567.54834
144,115.296219,10529.68164,209.968674,1735.84021,0.797852,0.468526,3.496391,58.40625,62.375,52.192448,85.864052,1566.858521
145,115.335266,10527.0166,210.104706,1735.488403,0.797974,0.466739,3.49977,58.40625,62.375,52.205921,85.88652,1567.906128
146,115.294075,10532.60547,210.004105,1734.542358,0.799238,0.467043,3.491939,58.40625,62.375,52.206196,85.943092,1566.535156
147,114.740402,10529.16406,209.980865,1734.601929,0.797498,0.467982,3.496141,58.40625,62.375,52.210991,85.966599,1567.860229
148,115.144806,10527.4541,210.122513,1735.307983,0.802381,0.467224,3.493115,58.40625,62.375,52.216129,85.947731,1566.937866
149,115.425995,10529.93652,210.161407,1734.741577,0.801326,0.467099,3.500484,58.40625,62.375,52.229492,85.943108,1571.402344
150,115.17942,10529.81641,210.187866,1734.629395,0.80315,0.467037,3.499091,58.40625,62.375,52.224998,85.961914,1573.372925
151,114.893379,10526.75391,210.001877,1734.466675,0.802548,0.467654,3.494272,58.40625,62.375,52.233727,86.018127,1568.630371
152,115.447189,10528.04102,210.091217,1734.573486,0.800635,0.467592,3.502238,58.40625,62.375,52.244171,85.929001,1572.678223
153,115.067146,10530.36523,210.246506,1734.174072,0.801217,0.465428,3.503183,58.40625,62.375,52.248531,85.947754,1572.938965
154,115.296188,10525.08789,210.065506,1734.817017,0.803216,0.467287,3.503163,58.40625,62.375,52.240833,86.167633,1571.584595
155,115.470123,10529.76465,210.039139,1734.688721,0.800843,0.467568,3.498402,58.40625,62.375,52.235947,86.168526,1569.936768
156,114.893799,10530.72656,210.025879,1734.609497,0.801228,0.467986,3.502022,58.40625,62.375,52.231644,86.150009,1574.027588
157,115.523621,10531.33887,210.111679,1734.64209,0.802182,0.467556,3.505918,58.40625,62.375,52.224297,86.019241,1573.486206
158,115.437408,10527.12109,210.083481,1734.447021,0.801784,0.467732,3.507205,58.40625,62.375,52.219982,85.943108,1574.466797
159,115.261826,10531.61328,210.238083,1734.639648,0.800948,0.46813,3.50274,58.40625,62.375,52.219261,85.943092,1569.933716
160,114.827324,10528.44531,210.237488,1735.185181,0.805276,0.467561,3.509297,58.40625,62.375,52.218433,85.885788,1574.371216
161,115.246964,10528.86328,210.028458,1734.46582,0.797476,0.465554,3.50955,58.40625,62.375,52.22472,86.022751,1573.677979
162,115.218376,10524.9834,209.989471,1734.970459,0.80769,0.46734,3.508883,58.40625,62.375,52.223812,85.943398,1574.825928
163,115.490959,10528.85156,210.145905,1735.044678,0.803303,0.469667,3.516572,58.40625,62.375,52.225464,86.01889,1575.433716
164,115.307487,10529.91113,210.171051,1734.428467,0.801101,0.467475,3.507993,58.40625,62.375,52.236656,85.943108,1574.914185
165,115.086082,10531.83398,210.089661,1734.59375,0.804459,0.467103,3.507228,58.40625,62.375,52.228878,86.018341,1572.639526
166,115.004471,10524.65039,210.056,1734.763306,0.802957,0.468806,3.505338,58.40625,62.375,52.220036,86.013054,1569.703491
167,114.822716,10525.06152,210.031876,1734.672607,0.806923,0.467182,3.51028,58.40625,62.375,52.21941,85.867874,1572.40564
168,114.954094,10531.57715,210.108109,1734.613403,0.80648,0.468172,3.504317,58.40625,62.375,52.230045,86.018066,1573.500732
169,114.963211,10529.53027,210.221817,1734.901123,0.807864,0.469315,3.506865,58.40625,62.375,52.213165,86.018341,1571.716675
170,115.344482,10525.22656,210.0336,1735.052612,0.807717,0.469302,3.505526,58.40625,62.375,52.206432,85.872513,1573.850464
171,115.185165,10531.62891,210.295349,1734.805908,0.805086,0.468554,3.500964,58.40625,62.375,52.193871,85.94664,1568.588135
172,115.164932,10526.94043,210.051956,1734.82605,0.802741,0.468915,3.505207,58.40625,62.375,52.191925,85.943092,1570.989746
173,115.1064,10528.95215,210.159195,1735.221191,0.802191,0.468296,3.506406,58.40625,62.375,52.198063,85.999535,1571.225464
174,115.198273,10527.70898,210.019714,1735.038086,0.805579,0.469547,3.507163,58.40625,62.375,52.187363,85.97596,1572.982666
175,115.429932,10531.80469,210.141068,1734.210205,0.802414,0.468914,3.502722,58.40625,62.375,52.179581,86.093285,1569.413574
176,115.327438,10531.23633,210.169006,1735.050293,0.802835,0.468836,3.505972,58.40625,62.375,52.184093,86.018349,1569.615356
177,114.9133,10527.81836,210.029709,1734.560669,0.80148,0.46874,3.499307,58.40625,62.375,52.181675,85.941933,1567.149658
178,115.639381,10526.92481,210.153763,1734.578003,0.802137,0.468646,3.514348,58.40625,62.375,52.186447,85.943108,1574.446289
179,115.470314,10529.98242,210.016113,1734.964478,0.802368,0.468265,3.508035,58.40625,62.375,52.187088,86.018272,1571.489502
180,115.231728,10526.16113,210.109116,1735.051514,0.804379,0.468856,3.511014,58.40625,62.375,52.195766,86.018341,1571.417603
181,114.387352,10530.14356,209.991058,1734.704102,0.805083,0.469393,3.512383,58.40625,62.375,52.192921,86.089996,1573.085083
182,115.255096,10525.34277,210.055756,1734.705811,0.804238,0.468275,3.507193,58.40625,62.375,52.202774,85.943108,1569.30896
183,115.169006,10530.07422,210.227203,1735.386841,0.804691,0.468477,3.501411,58.40625,62.375,52.212399,85.867874,1568.62146
184,115.078568,10531.41211,210.105164,1734.480469,0.804535,0.469051,3.50845,58.40625,62.375,52.214588,85.863663,1571.985474
185,115.371162,10531.13086,210.053436,1735.278809,0.801798,0.469423,3.50104,58.40625,62.375,52.221737,85.886627,1571.834473
186,115.433113,10524.94531,210.156479,1734.665649,0.798312,0.469168,3.515538,58.40625,62.375,52.239079,85.947861,1578.507446
187,115.167274,10528.85742,210.115494,1735.256104,0.802791,0.467296,3.507896,58.40625,62.375,52.236607,86.013359,1577.020508
188,114.952858,10527.12793,210.104691,1734.939941,0.801546,0.468584,3.50325,58.40625,62.375,52.223522,86.018646,1570.501343
189,115.611336,10529.67578,210.066528,1734.920288,0.8043,0.468474,3.503653,58.40625,62.375,52.211758,85.943085,1570.425659
190,115.584618,10526.39844,210.115677,1735.747925,0.801143,0.469348,3.495859,58.40625,62.375,52.204659,86.093582,1569.456665
191,115.081032,10526.26172,210.038376,1735.439209,0.802419,0.468073,3.496839,58.40625,62.375,52.203575,86.093567,1566.28772
192,115.528954,10531.69629,210.139664,1735.05249,0.8035,0.468065,3.502915,58.40625,62.375,52.219227,86.020111,1570.298096
193,115.296188,10529.78027,210.233444,1735.42981,0.805267,0.467599,3.504351,58.40625,62.375,52.219826,85.943176,1571.973389
194,115.395973,10526.78613,210.204727,1735.018555,0.801323,0.468054,3.502667,58.40625,62.375,52.225109,85.946686,1570.162598
195,115.619621,10525.78613,210.049454,1735.355347,0.802287,0.468328,3.499809,58.40625,62.375,52.217628,85.944206,1570.372559
196,115.212502,10532.05273,210.124786,1735.085327,0.802281,0.468695,3.492326,58.40625,62.375,52.220959,85.947868,1567.479736
197,114.794044,10531.70215,210.120514,1735.149048,0.801737,0.467113,3.495472,58.40625,62.375,52.23357,86.00071,1568.055054
198,115.083496,10529.49707,209.923264,1734.484375,0.799276,0.467903,3.496127,58.40625,62.375,52.245872,86.013718,1569.479858
199,115.042107,10526.88672,210.236801,1735.042847,0.80602,0.468193,3.502291,58.40625,62.375,52.241379,85.943108,1570.255249
200,115.156715,10531.62012,210.008774,1734.894043,0.802957,0.468514,3.493289,58.40625,62.375,52.219337,86.018333,1565.154907
201,115.246437,10528.77832,210.114899,1735.393799,0.800899,0.468354,3.496572,58.40625,62.375,52.208439,85.940468,1568.9375
